region_name,covid_movement_id
Kajiado East,2571193
Kajiado East,2571194
Kajiado East,2571195
Kajiado East,2571196
Kajiado East,2571197
Kajiado East,2571198
Kajiado East,2571199
Kajiado East,2571200
Kajiado East,2571201
Kajiado East,2571202
Kajiado East,2571203
Kajiado East,2571204
Kajiado East,2571205
Kajiado East,2571206
Kajiado East,2571207
Kajiado East,2571208
Kajiado East,2571209
Kajiado North,2571210
Kajiado North,2571211
Kajiado North,2571212
Kajiado North,2571213
Kajiado North,2571214
Kajiado North,2571215
Kajiado North,2571216
Kajiado North,2571217
Kajiado North,2571218
Kajiado North,2571219
Kajiado North,2571220
Kajiado North,2571221
Kajiado North,2571222
Kajiado North,2571223
Kajiado North,2571224
Kajiado North,2571225
Kajiado North,2571226
Kajiado North,2571227
Kajiado North,2571228
Kajiado North,2571229
Kajiado North,2571230
Kajiado North,2571231
Kajiado North,2571232
Kajiado North,2571233
Kajiado North,2571234
Kajiado North,2571235
Kajiado North,2571236
Kajiado North,2571237
Kajiado North,2571238
Kajiado North,2571239
Kajiado North,2571240
Kajiado North,2571241
Kajiado North,2571242
Kajiado North,2571243
Kajiado North,2571244
Kajiado North,2571245
Kajiado North,2571246
Kajiado North,2571247
Kajiado North,2571248
Kajiado North,2571249
Kajiado North,2571250
Kajiado North,2571251
Kajiado North,2571252
Kajiado North,2571253
Kajiado North,2571254
Kajiado North,2571255
Kajiado North,2571256
Kajiado North,2571257
Kajiado North,2571258
Kajiado North,2571259
Kajiado North,2571260
Kajiado North,2571261
Kajiado North,2571262
Kajiado North,2571263
Kajiado North,2571264
Kajiado North,2571265
Kajiado North,2571266
Kajiado North,2571267
Kajiado North,2571268
Kajiado North,2571269
Kajiado North,2571270
Kajiado North,2571271
Kajiado North,2571272
Kajiado North,2571273
Kajiado North,2571274
Kajiado North,2571275
Kajiado North,2571276
Kajiado North,2571277
Kajiado North,2571278
Kajiado North,2571279
Kajiado North,2571280
Kajiado North,2571281
Kajiado North,2571282
Kajiado North,2571283
Kajiado North,2571284
Kajiado North,2571285
Kajiado North,2571286
Kajiado North,2571287
Kajiado North,2571288
Kajiado North,2571289
Kajiado North,2571290
Kajiado North,2571291
Kajiado North,2571292
Kajiado North,2571293
Kajiado North,2571294
Kajiado North,2571295
Kajiado North,2571296
Kajiado North,2571297
Kajiado North,2571298
Kajiado North,2571299
Kajiado North,2571300
Kajiado North,2571301
Kajiado North,2571302
Kajiado North,2571303
Kajiado North,2571304
Kajiado North,2571305
Kajiado North,2571306
Kajiado North,2571307
Kajiado North,2571308
Kajiado North,2571309
Kajiado North,2571310
Kajiado North,2571311
Kajiado North,2571312
Kajiado North,2571313
Kajiado North,2571314
Kajiado North,2571315
Kajiado North,2571316
Kajiado North,2571317
Kajiado North,2571318
Kajiado North,2571319
Kajiado North,2571320
Kajiado North,2571321
Kajiado North,2571322
Kajiado North,2571323
Kajiado North,2571324
Kajiado North,2571325
Kajiado North,2571326
Kajiado North,2571327
Kajiado North,2571328
Kajiado North,2571329
Kajiado North,2571330
Kajiado North,2571331
Kajiado North,2571332
Kajiado North,2571333
Kajiado North,2571334
Kajiado North,2571335
Kajiado North,2571336
Kajiado North,2571337
Kajiado North,2571338
Kajiado North,2571339
Kajiado North,2571340
Kajiado North,2571341
Kajiado North,2571342
Kajiado North,2571343
Kajiado North,2571344
Kajiado North,2571345
Kajiado North,2571346
Kajiado North,2571347
Kajiado North,2571348
Kajiado North,2571349
Kajiado North,2571350
Kajiado North,2571351
Kajiado North,2571352
Kajiado North,2571353
Kajiado North,2571354
Kajiado North,2571355
Kajiado North,2571356
Kajiado North,2571357
Kajiado North,2571358
Kajiado North,2571359
Kajiado North,2571360
Kajiado North,2571361
Kajiado North,2571362
Kajiado North,2571363
Kajiado North,2571364
Kajiado North,2571365
Kajiado North,2571366
Kajiado North,2571367
Kajiado North,2571368
Kajiado North,2571369
Kajiado North,2571370
Kajiado North,2571371
Kajiado North,2571372
Kajiado North,2571373
Kajiado North,2571374
Kajiado North,2571375
Kajiado North,2571376
Kajiado North,2571377
Kajiado North,2571378
Kajiado North,2571379
Kajiado North,2571380
Kajiado North,2571381
Kajiado North,2571382
Kajiado North,2571383
Kajiado North,2571384
Kajiado North,2571385
Kajiado North,2571386
Kajiado North,2571387
Kajiado North,2571388
Kajiado North,2571389
Kajiado North,2571390
Kajiado North,2571391
Kajiado North,2571392
Kajiado North,2571393
Kajiado North,2571394
Kajiado North,2571395
Kajiado North,2571396
Kajiado North,2571397
Kajiado North,2571398
Kajiado North,2571399
Kajiado North,2571400
Kajiado North,2571401
Kajiado North,2571402
Kajiado North,2571403
Kajiado North,2571404
Kajiado North,2571405
Kajiado North,2571406
Kajiado North,2571407
Kajiado North,2571408
Kajiado North,2571409
Kajiado North,2571410
Kajiado North,2571411
Kajiado North,2571412
Kajiado North,2571413
Kajiado North,2571414
Kajiado North,2571415
Kajiado North,2571416
Kajiado North,2571417
Kajiado North,2571418
Kajiado North,2571419
Kajiado North,2571420
Kajiado North,2571421
Kajiado North,2571422
Kajiado North,2571423
Kajiado North,2571424
Kajiado North,2571425
Kajiado North,2571426
Kajiado North,2571427
Kajiado North,2571428
Kajiado North,2571429
Kajiado North,2571430
Kajiado North,2571431
Kajiado North,2571432
Kajiado North,2571433
Kajiado North,2571434
Kajiado North,2571435
Kajiado North,2571436
Kajiado North,2571437
Kajiado North,2571438
Kajiado North,2571439
Kajiado North,2571440
Kajiado North,2571441
Kajiado North,2571442
Kajiado North,2571443
Kajiado North,2571444
Kajiado North,2571445
Kajiado North,2571446
Kajiado North,2571447
Kajiado North,2571448
Kajiado North,2571449
Kajiado North,2571450
Kajiado North,2571451
Kajiado North,2571452
Kajiado North,2571453
Kajiado North,2571454
Kajiado North,2571455
Kajiado North,2571456
Kajiado North,2571457
Kajiado North,2571458
Kajiado North,2571459
Kajiado North,2571460
Kajiado North,2571461
Kajiado North,2571462
Kajiado North,2571463
Kajiado North,2571464
Kajiado North,2571465
Kajiado North,2571466
Kajiado North,2571467
Kajiado North,2571468
Kajiado North,2571469
Kajiado North,2571470
Kajiado North,2571471
Kajiado North,2571472
Kajiado North,2571473
Kajiado North,2571474
Kajiado North,2571475
Kajiado North,2571476
Kajiado North,2571477
Kajiado North,2571478
Kajiado North,2571479
Kajiado North,2571480
Kajiado North,2571481
Kajiado North,2571482
Kajiado North,2571483
Kajiado North,2571484
Kajiado North,2571485
Kajiado North,2571486
Kajiado North,2571487
Kajiado North,2571488
Kajiado North,2571489
Kajiado North,2571490
Kajiado North,2571491
Kajiado North,2571492
Kajiado North,2571493
Kajiado North,2571494
Kajiado North,2571495
Kajiado North,2571496
Kajiado North,2571497
Kajiado North,2571498
Kajiado North,2571499
Kajiado North,2571500
