covid_movement_id,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,covid_movement_date
2571084,-0.07281,0.16214,2020-08-28
2571085,-0.08555,0.16199000000000002,2020-08-29
2571086,-0.11682000000000001,0.20675,2020-08-30
2571087,-0.0066,0.14023,2020-08-31
2571088,-0.030560000000000004,0.15684,2020-09-01
2571089,-0.03764,0.15653,2020-09-02
2571090,-0.05579,0.15842,2020-09-03
2571091,-0.03211,0.15506,2020-09-04
2571092,-0.0629,0.16913,2020-09-05
2571093,-0.15741,0.22191,2020-09-06
2571094,-0.02683,0.16983,2020-09-07
2571095,-0.0004,0.17026,2020-09-08
2571096,-0.0495,0.15675,2020-09-09
2571097,-0.07774,0.15347,2020-09-10
2571098,-0.08766,0.15738,2020-09-11
2571099,-0.10066,0.15136,2020-09-12
2571100,-0.10662999999999999,0.17669,2020-09-13
2571101,-0.03772,0.15036,2020-09-14
2571102,-0.04983,0.16089,2020-09-15
2571103,-0.04319,0.15466,2020-09-16
2571104,-0.05329,0.15941,2020-09-17
2571105,-0.07181,0.16398,2020-09-18
2571106,-0.06277,0.17106,2020-09-19
2571107,-0.11739000000000001,0.20115,2020-09-20
2571108,-0.07593,0.16662000000000002,2020-09-21
2571109,-0.00126,0.17335,2020-09-22
2571110,0.01517,0.14568,2020-09-23
2571111,-0.0308,0.16497,2020-09-24
2571112,-0.09782,0.16083,2020-09-25
2571113,-0.0844,0.16033,2020-09-26
2571114,-0.10294,0.19542,2020-09-27
2571115,0.01517,0.14661,2020-09-28
2571116,-0.00317,0.15372,2020-09-29
2571117,0.00325,0.17047,2020-09-30
2571118,-0.01856,0.14209000000000002,2020-10-01
2571119,-0.022269999999999998,0.14525,2020-10-02
2571120,-0.04385,0.14265,2020-10-03
2571121,-0.02985,0.16492,2020-10-04
2571122,0.03286,0.1358,2020-10-05
2571123,0.013309999999999999,0.15005,2020-10-06
2571124,-0.01094,0.13414,2020-10-07
2571125,0.03323,0.13237000000000002,2020-10-08
2571126,-0.04435,0.13918,2020-10-09
2571127,-0.09512999999999999,0.16205999999999998,2020-10-10
2571128,-0.024390000000000002,0.1793,2020-10-11
2571129,0.00065,0.14912999999999998,2020-10-12
2571130,-0.0007099999999999999,0.15132,2020-10-13
2571131,0.0026100000000000003,0.1517,2020-10-14
2571132,-0.012759999999999999,0.14851,2020-10-15
2571133,-0.03155,0.15166,2020-10-16
2571134,-0.03785,0.16230999999999998,2020-10-17
2571135,-0.07057000000000001,0.1849,2020-10-18
2571136,-0.02872,0.16132,2020-10-19
2571137,-0.19773,0.18147,2020-10-20
2571138,-0.02912,0.15757000000000002,2020-10-21
2571139,-0.0492,0.15502,2020-10-22
2571140,-0.03791,0.16191,2020-10-23
2571141,-0.04437,0.16567,2020-10-24
2571142,-0.07022,0.18357,2020-10-25
2571143,-0.01445,0.16915999999999998,2020-10-26
2571144,0.0008300000000000001,0.17124,2020-10-27
2571145,-0.0104,0.13614,2020-10-28
2571146,-0.08313999999999999,0.15224000000000001,2020-10-29
2571147,-0.03798,0.14219,2020-10-30
2571148,-0.034,0.15715,2020-10-31
2571149,-0.060070000000000005,0.1717,2020-11-01
2571150,0.00477,0.13438,2020-11-02
2571151,-0.01494,0.13560999999999998,2020-11-03
2571152,-0.006409999999999999,0.14098,2020-11-04
2571153,-0.02174,0.14758,2020-11-05
2571154,-0.03652,0.1511,2020-11-06
2571155,-0.00928,0.14081,2020-11-07
2571156,-0.0685,0.17941,2020-11-08
2571157,-0.026180000000000002,0.14726,2020-11-09
2571158,-0.01198,0.14026,2020-11-10
2571159,-0.058089999999999996,0.16902,2020-11-11
2571160,-0.0615,0.15295999999999998,2020-11-12
2571161,-0.04584,0.13057,2020-11-13
2571162,-0.04632,0.15521,2020-11-14
